Classe,Age,Cle_logbook,Freq_comm_ecrit,Lecture_comm_ecrit,Objectif_commentaire,Texte_objectif_comm_ecrit,Impact_comm_ecrit,Comp_comm_ecrit,Freq_comm_oral,Moment_comm_oral,Comp_comm_oral,Impact_comm_oral,Prof_comm_oral_prive,Gene_comm_oral,Raison_gene_comm_oral,Raison_gene_autre,Pref_ecrit_oral,Pref_ecrit_oral_texte,Pref_freq_oral,Besoin_comm_oral,Besoin_comm_oral_text,Motiv_comm,Motiv_text,Peur,Methodes_travail,Commentaire_libre,Image1,Image2,Créé à
5e,11-12 ans,,"Oui, souvent","Oui, je les lis toujours attentivement",Comprendre pourquoi j'ai eu cette note,,Un peu,"Je demande à mes parents, J'essaie de deviner ce que ça veut dire",Parfois,"Pendant la correction collective devant toute la classe, Pendant des travaux en groupes, Pendant une discussion individuelle (juste avec moi)",La plupart du temps,"Oui, un peu",Cela dépend du type de commentaire,"Parfois, selon ce qui est dit",Cela ne m'est jamais arrivé,,Écrits,parce que les autres ne voient pas ce qui est ecris et je suis sur que personne ne peux se moquer ,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des encouragements pour me motiver",,"Parfois ça m'encourage, parfois ça me décourage",parce des fois il ne sont pas tres motivant et ne me motive pas tellement,"Parfois, ça dépend du professeur","Je relis le cours, Je révise avec des camarades",qu il y a des commentaires qui peuvent blesser cela depend mais sinon c est bon,,,
5e,11-12 ans,4D9Q0M,Parfois,La plupart du temps,Savoir ce que je dois améliorer,,Un peu,"Je demande des explications au professeur, Je demande à un camarade, Je demande à mes parents, J'essaie de deviner ce que ça veut dire",Parfois,Je ne m’en souviens pas,Parfois c'est un peu flou,"Oui, un peu",Cela dépend du type de commentaire,"Rarement, ça va",J'ai eu l'impression d'être jugé(e) devant les autres,,Écrits,je sais pas ,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Des exemples pour mieux comprendre",,Ils m'encouragent toujours à mieux faire,,"Parfois, ça dépend du professeur",Rien de tout cela suivre le cours me suffit,non,,,
5e,11-12 ans,,"Oui, souvent","Oui, je les lis toujours attentivement",Comprendre pourquoi j'ai eu cette note,,Un peu,Je demande des explications au professeur,Parfois,"Pendant une discussion individuelle (juste avec moi), Je ne m’en souviens pas","Oui, toujours, c'est très clair","Oui, beaucoup, c'est plus clair qu'à l'écrit","Devant la classe, ça ne me dérange pas","Rarement, ça va",Cela ne m'est jamais arrivé,,Un mélange des deux,c est plus facile,Oui,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser",,Ils m'encouragent souvent,,"Parfois, ça dépend du professeur","Je relis le cours, Je refais des exercices, Je fais des fiches de révision",non,,,
5e,11-12 ans,69554S,"Oui, souvent",La plupart du temps,Savoir ce que j’ai bien fait,,Je ne sais pas,"Je demande des explications au professeur, Je demande à mes parents, J'essaie de deviner ce que ça veut dire",Parfois,Pendant une discussion individuelle (juste avec moi),La plupart du temps,Pas du tout,"Devant la classe, ça ne me dérange pas",Jamais,Cela ne m'est jamais arrivé,,Écrits,je trouve cela mieux,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver",,Ils n'ont pas d'effet sur ma motivation,par ce que je serai toujours motivé,"Jamais, j'ose toujours demander","Je relis le cours, Je refais des exercices, Je fais des fiches de révision, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,...""",,,,
5e,11-12 ans,RA37IU,"Oui, sur presque tous mes devoirs",La plupart du temps,Savoir ce que je dois améliorer,,Pas vraiment,"Je demande à un camarade, ""Je laisse tomber, tant pis""",Jamais ou presque jamais,Pendant des travaux en groupes,Souvent je ne comprends pas bien,Pas vraiment,En privé (juste moi et le professeur),"Parfois, selon ce qui est dit",J'ai eu l'impression d'être jugé(e) devant les autres,,Écrits,car j'aime pas que la classe sache mes note et qu'il se moque ,Non,"""Ce que j'ai bien fait, mes points forts"", Des encouragements pour me motiver",,"Parfois ça m'encourage, parfois ça me décourage",des fois c'est un mauve commentaire et ça me décourage et il ne mette pas les choses que j'ai bien faite ,"Parfois, ça dépend du professeur","Je relis le cours, Je fais des fiches de révision",ils peuvent mettre des choses a améliorer mais aussi les choses bien faite et nous encourage ,,,
5e,11-12 ans,,Parfois,La plupart du temps,Comprendre pourquoi j'ai eu cette note,,Un peu,Je demande à un camarade,Rarement,Pendant une discussion individuelle (juste avec moi),"Oui, toujours, c'est très clair","Oui, un peu",En privé (juste moi et le professeur),"Parfois, selon ce qui est dit",Les autres élèves se sont moqués,,Écrits,pas parce que en ecrit il y a juste le  ou la professeur et moi  qui le sais ,Non,"""Ce que j'ai bien fait, mes points forts"", Des encouragements pour me motiver",,"Parfois ça m'encourage, parfois ça me décourage",,"Jamais, j'ose toujours demander","Je relis le cours, Je me fais aider par une I.A.",,,,
5e,11-12 ans,,"Oui, souvent","Parfois, ça dépend de la matière ou de la note",Savoir ce que j’ai bien fait,,Pas vraiment,J'ai peur de poser la question,Rarement,Pendant la correction collective devant toute la classe,La plupart du temps,Pas vraiment,En privé (juste moi et le professeur),"Toujours, je suis gêné","J'ai eu l'impression d'être jugé(e) devant les autres, Les autres élèves se sont moqués, Le commentaire était trop négatif, Je n'ai pas compris et je n'ai pas osé demander",,Oraux,,Oui,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser",,Ils n'ont pas d'effet sur ma motivation,,Souvent,"Je relis le cours, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je révise avec des camarades",,,,
5e,11-12 ans,HHSAHU,Parfois,"Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,Un peu,"Je demande des explications au professeur, Je demande à un camarade, Je demande à mes parents, J'essaie de deviner ce que ça veut dire",Rarement,Pendant une discussion individuelle (juste avec moi),"Oui, toujours, c'est très clair","Oui, un peu",Cela dépend du type de commentaire,Jamais,Cela ne m'est jamais arrivé,,Écrits,Parce-que ce n'ai pas devant la classe et que je peux montrer à mes parents,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts""",,Ils m'encouragent souvent,,"Parfois, ça dépend du professeur","Je relis le cours, Je refais des exercices, Je fais des fiches de révision, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je révise avec des camarades",non c'est très bien,,,
5e,11-12 ans,IVAAAJ,"Oui, souvent","Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,Pas vraiment,"Je demande des explications au professeur, J'essaie de deviner ce que ça veut dire","Oui, souvent","Pendant la correction collective devant toute la classe, Pendant une discussion individuelle (juste avec moi)",La plupart du temps,"Oui, un peu",Cela dépend du type de commentaire,"Souvent, je n'aime pas ça","J'ai eu l'impression d'être jugé(e) devant les autres, Le commentaire était trop négatif",,Écrits,C'est mieux a l'écrit car parler devant toute la classe sa me mes mal alaise encore plus si je me trompe . ,Non,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des exemples pour mieux comprendre",,Ils m'encouragent souvent,Car  sa me pousse a faire mieux a la prochaine évaluation,"Parfois, ça dépend du professeur","Je relis le cours, Je fais des fiches de révision, Je révise avec des camarades",non,,,
5e,11-12 ans,RD2OJS,Parfois,"Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,Un peu,"Je demande des explications au professeur, Je demande à un camarade, Je demande à mes parents",Parfois,Pendant la correction collective devant toute la classe,La plupart du temps,Pas vraiment,Cela dépend du type de commentaire,"Rarement, ça va",J'ai eu l'impression d'être jugé(e) devant les autres,,Écrits,car je n'aime pas que la classe sache les erreurs que j'ai fait,Non,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver, Des exemples pour mieux comprendre",,Ils m'encouragent souvent,car souvent les commentaires sont plutôt bon,"Jamais, j'ose toujours demander","Je relis le cours, Je refais des exercices, Je fais des fiches de révision, Je révise avec des camarades",,,,
5e,11-12 ans,U8LGSB COUPARD,Parfois,"Parfois, ça dépend de la matière ou de la note",Être encouragé(e),,Un peu,"Je demande à un camarade, J'essaie de deviner ce que ça veut dire, J'ai peur de poser la question",Rarement,Je ne m’en souviens pas,Parfois c'est un peu flou,"Oui, un peu",En privé (juste moi et le professeur),"Parfois, selon ce qui est dit",J'ai eu l'impression d'être jugé(e) devant les autres,,Écrits,JE NAIME PAS CON LE DISE DEVANT TOU LE MONDE,Non,"""Ce que j'ai bien fait, mes points forts""",,"Parfois ça m'encourage, parfois ça me décourage",CHER PAS,"Toujours, je n'ose pas poser de questions",Je refais des exercices,NON,,,
5e,11-12 ans,TYP5OU,Parfois,"Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,Un peu,"Je demande des explications au professeur, Je demande à un camarade, Je demande à mes parents, J'essaie de deviner ce que ça veut dire",Parfois,Je ne m’en souviens pas,La plupart du temps,"Oui, un peu",Cela dépend du type de commentaire,"Rarement, ça va",Cela ne m'est jamais arrivé,,Je n'ai pas de préférence,pace que les deux ne me dérange pas,Non,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver, Des exemples pour mieux comprendre",,"Parfois ça m'encourage, parfois ça me décourage",,"Jamais, j'ose toujours demander","Je relis le cours, Je refais des exercices, Je fais des fiches de révision, Je révise avec des camarades",non,,,
4e,13-14 ans,,Rarement,"Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,Un peu,"Je demande à un camarade, J'essaie de deviner ce que ça veut dire, ""Je laisse tomber, tant pis""",Jamais ou presque jamais,Je ne m’en souviens pas,La plupart du temps,"Oui, un peu",Je préfère éviter les commentaires oraux,"Parfois, selon ce qui est dit",Le commentaire était trop négatif,,Écrits,,Non,Des exemples pour mieux comprendre,,"Parfois ça m'encourage, parfois ça me décourage",,"Parfois, ça dépend du professeur",Je relis le cours,,,,
5e,11-12 ans,,"Oui, souvent","Oui, je les lis toujours attentivement",Comprendre pourquoi j'ai eu cette note,,"Oui, beaucoup","Je demande des explications au professeur, Je demande à un camarade, Je demande à mes parents",Parfois,Pendant la correction collective devant toute la classe,La plupart du temps,"Oui, beaucoup, c'est plus clair qu'à l'écrit",Cela dépend du type de commentaire,"Rarement, ça va",J'ai eu l'impression d'être jugé(e) devant les autres,,Un mélange des deux,,Oui,Des conseils concrets pour progresser,,Ils m'encouragent toujours à mieux faire,,"Parfois, ça dépend du professeur","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, Je refais des exercices, Je fais des fiches de révision, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je me fais aider par une I.A.",,,,
5e,13-14 ans,,"Oui, souvent",La plupart du temps,Savoir ce que je dois améliorer,,"Oui, beaucoup","Je demande à un camarade, J'essaie de deviner ce que ça veut dire",Parfois,Pendant la correction collective devant toute la classe,"Oui, toujours, c'est très clair","Oui, un peu","Devant la classe, ça ne me dérange pas","Souvent, je n'aime pas ça",Cela ne m'est jamais arrivé,,Je n'ai pas de préférence,les 2 ne me derange pas,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des exemples pour mieux comprendre",,Ils m'encouragent toujours à mieux faire,,"Parfois, ça dépend du professeur","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je révise avec des camarades",J'ai rien a dire,,,
4e,13-14 ans,,"Oui, sur presque tous mes devoirs","Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,"Oui, beaucoup","Je demande à un camarade, J'essaie de deviner ce que ça veut dire",Parfois,Pendant la correction collective devant toute la classe,"Oui, toujours, c'est très clair","Oui, beaucoup, c'est plus clair qu'à l'écrit",Je n'ai pas de préférence,Jamais,"""Autre, complète ci-contre""",rien,Oraux,c'est plus clair,Je ne sais pas,"Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver",,Ils m'encouragent toujours à mieux faire,,"Jamais, j'ose toujours demander","Je relis le cours, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je révise avec des camarades",non,,,
4e,13-14 ans,,Jamais ou presque jamais,"Oui, je les lis toujours attentivement",Savoir ce que j’ai bien fait,,Un peu,Je demande des explications au professeur,Jamais ou presque jamais,"Pendant la correction collective devant toute la classe, Je ne m’en souviens pas","Non, c'est rarement clair pour moi","Oui, beaucoup, c'est plus clair qu'à l'écrit",Je n'ai pas de préférence,Jamais,Cela ne m'est jamais arrivé,,Un mélange des deux,.Parce que sa m'aide à mieux comprendre des fois ,Oui,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver, Des exemples pour mieux comprendre",,Ils me découragent souvent,,"Jamais, j'ose toujours demander","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, Je refais des exercices, Je révise avec des camarades",,,,
4e,13-14 ans,,Parfois,"Oui, je les lis toujours attentivement",Être encouragé(e),,Pas du tout,"J'essaie de deviner ce que ça veut dire, ""Je laisse tomber, tant pis"", J'ai peur de poser la question",Jamais ou presque jamais,Pendant des travaux en groupes,Parfois c'est un peu flou,Pas du tout,Je préfère éviter les commentaires oraux,"Parfois, selon ce qui est dit","J'ai eu l'impression d'être jugé(e) devant les autres, Le commentaire était trop négatif",,Écrits,je ne sais pas,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver, Des exemples pour mieux comprendre",,"Parfois ça m'encourage, parfois ça me décourage",je ne sais pas,"Parfois, ça dépend du professeur","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, Je refais des exercices, Je fais des fiches de révision, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je me fais aider par une I.A.",,,,
4e,13-14 ans,,Parfois,La plupart du temps,Savoir ce que j’ai bien fait,,Un peu,"Je demande à un camarade, Je demande à mes parents, J'essaie de deviner ce que ça veut dire",Rarement,"Pendant des travaux en groupes, Pendant une discussion individuelle (juste avec moi), Pendant les pauses ou récréations",La plupart du temps,"Oui, un peu","Devant la classe, ça ne me dérange pas",Jamais,Cela ne m'est jamais arrivé,,Je n'ai pas de préférence,car les deux me conviennent parfaitement,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des exemples pour mieux comprendre",,"Parfois ça m'encourage, parfois ça me décourage",,"Parfois, ça dépend du professeur","Je relis le cours, Je fais des fiches de révision, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je révise avec des camarades", non,,,
4e,13-14 ans,,Parfois,"Oui, je les lis toujours attentivement",Savoir ce que j’ai bien fait,,Un peu,"""Je laisse tomber, tant pis""",Jamais ou presque jamais,Je ne m’en souviens pas,La plupart du temps,"Oui, un peu",Je n'ai pas de préférence,"Rarement, ça va",Cela ne m'est jamais arrivé,,Écrits,car c'est plus clair,Non,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des exemples pour mieux comprendre",,Ils n'ont pas d'effet sur ma motivation,car ce n'est pas en fonction du commentaire que j'ai que ma note va changer,"Parfois, ça dépend du professeur","Je relis le cours, Je révise avec des camarades",non,,,
4e,13-14 ans,non,Parfois,La plupart du temps,Savoir ce que je dois améliorer,savoir pour  comprendre pourquoi j'ai eu cette note,Un peu,"Je demande des explications au professeur, Je demande à mes parents",Rarement,Pendant une discussion individuelle (juste avec moi),La plupart du temps,"Oui, beaucoup, c'est plus clair qu'à l'écrit",En privé (juste moi et le professeur),"Rarement, ça va","J'ai eu l'impression d'être jugé(e) devant les autres, Le commentaire était trop négatif",,Écrits,car c'est plus priver pour pas etre juger,Non,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des exemples pour mieux comprendre",,"Parfois ça m'encourage, parfois ça me décourage", ,Souvent,"Je relis le cours, Je révise avec des camarades",,,,
4e,13-14 ans,,Parfois,"Oui, je les lis toujours attentivement",Comprendre pourquoi j'ai eu cette note,,Un peu,"Je demande des explications au professeur, Je demande à un camarade, Je demande à mes parents",Rarement,Pendant la correction collective devant toute la classe,La plupart du temps,Pas vraiment,En privé (juste moi et le professeur),"Souvent, je n'aime pas ça",Le commentaire était trop négatif,,Écrits,les professeurs ne le disent pas devant tout le monde,Oui,"Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des exemples pour mieux comprendre",,Ils m'encouragent toujours à mieux faire,je sais se que les profs attendent de moi,"Parfois, ça dépend du professeur","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, Je refais des exercices, Je fais des fiches de révision, Je révise avec des camarades",non,,,
4e,13-14 ans,,Parfois,"Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,"Oui, beaucoup","Je demande des explications au professeur, Je demande à un camarade, Je demande à mes parents",Rarement,"Pendant la correction collective devant toute la classe, Pendant des travaux en groupes",La plupart du temps,"Oui, un peu","Devant la classe, ça ne me dérange pas","Rarement, ça va",Cela ne m'est jamais arrivé,,Écrits,parce que je comprends mieux en écrit que en oraux,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver, Des exemples pour mieux comprendre",,Ils m'encouragent toujours à mieux faire,parce que sa m'encourage beaucoup ,"Parfois, ça dépend du professeur","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, Je refais des exercices, Je fais des fiches de révision, Je révise avec des camarades",non,,,
4e,13-14 ans,,"Oui, souvent","Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,"Oui, beaucoup","Je demande des explications au professeur, Je demande à mes parents","Oui, souvent",Pendant la correction collective devant toute la classe,La plupart du temps,"Oui, beaucoup, c'est plus clair qu'à l'écrit","Devant la classe, ça ne me dérange pas","Rarement, ça va",Je n'ai pas compris et je n'ai pas osé demander,,Oraux,car ca explique mieux si on comprend pas ,Oui,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des encouragements pour me motiver",,Ils m'encouragent toujours à mieux faire,car ils expliquent ce qu'on fait mal,"Parfois, ça dépend du professeur","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, Je refais des exercices, Je révise avec des camarades",non ,,,
4e,13-14 ans,,"Oui, souvent","Oui, je les lis toujours attentivement",Être encouragé(e),,Un peu,J'essaie de deviner ce que ça veut dire,Parfois,Je ne m’en souviens pas,La plupart du temps,"Oui, un peu",En privé (juste moi et le professeur),Jamais,Le commentaire était trop négatif,,Écrits,"parce que c'est mieux pour moi, car je suis un peu introvertie.",Je ne sais pas,Des conseils concrets pour progresser,,"Parfois ça m'encourage, parfois ça me décourage",,"Parfois, ça dépend du professeur",Je refais des exercices,,,,
4e,13-14 ans,80YW5G,Parfois,"Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,Un peu,"Je demande des explications au professeur, Je demande à mes parents",Parfois,"Pendant la correction collective devant toute la classe, Pendant des travaux en groupes",Parfois c'est un peu flou,"Oui, un peu",Cela dépend du type de commentaire,"Souvent, je n'aime pas ça",J'ai eu l'impression d'être jugé(e) devant les autres,Je suis très timide,Écrits,Parce que je n'aimes pas trop parler,Non,"""Ce que j'ai bien fait, mes points forts"", Des encouragements pour me motiver",,Ils m'encouragent souvent,je sais pas,"Parfois, ça dépend du professeur","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, Je refais des exercices, Je fais des fiches de révision, Je révise avec des camarades",il sont bien,,,
4e,13-14 ans,,"Oui, souvent","Oui, je les lis toujours attentivement",Savoir ce que j’ai bien fait,Savoir ce que j ai mal fait,Un peu,"Je demande à un camarade, J'essaie de deviner ce que ça veut dire",Jamais ou presque jamais,Pendant une discussion individuelle (juste avec moi),Parfois c'est un peu flou,Pas vraiment,En privé (juste moi et le professeur),Jamais,Cela ne m'est jamais arrivé,,Écrits,c est plus intime,Non,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des exemples pour mieux comprendre",,Ils m'encouragent toujours à mieux faire,,"Jamais, j'ose toujours demander","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, Je fais des fiches de révision, Je révise avec des camarades",non,,,
4e,13-14 ans,,"Oui, sur presque tous mes devoirs","Oui, je les lis toujours attentivement",Comprendre pourquoi j'ai eu cette note,et comment faire pour m'améliorer si j'ai eu faux.,Un peu,"Je demande des explications au professeur, Je demande à un camarade, Je demande à mes parents, J'essaie de deviner ce que ça veut dire",Parfois,Pendant des travaux en groupes,La plupart du temps,"Oui, un peu",Cela dépend du type de commentaire,"Parfois, selon ce qui est dit","""Autre, complète ci-contre""","J'ai bien réussi un travail et donc la classe m'a applaudi, j'étais un peu mal à l'aise mais c'est toujours agréable d'être félicité.",Je n'ai pas de préférence,Les deux me conviennent du moment qu'il n'y a pas de jugements ou moqueries.,Oui,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser",,Ils m'encouragent souvent,,"Parfois, ça dépend du professeur","Je relis le cours, Je refais des exercices, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je révise avec des camarades",Non.,,,
4e,13-14 ans,,"Oui, souvent","Oui, je les lis toujours attentivement",Comprendre pourquoi j'ai eu cette note,,Un peu,"Je demande des explications au professeur, Je demande à mes parents",Parfois,"Pendant la correction collective devant toute la classe, Pendant une discussion individuelle (juste avec moi)",La plupart du temps,"Oui, un peu",En privé (juste moi et le professeur),"Souvent, je n'aime pas ça","J'ai eu l'impression d'être jugé(e) devant les autres, Les autres élèves se sont moqués",,Écrits,car je n'aime passer devant tout le monde ,Je ne sais pas,"Des conseils concrets pour progresser, Des encouragements pour me motiver",,Ils m'encouragent souvent,pour mieux faire l'evaluation ,Souvent,"Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, Je refais des exercices, Je fais des fiches de révision, Je révise avec des camarades",non,,,
4e,13-14 ans,,Parfois,"Oui, je les lis toujours attentivement",Comprendre pourquoi j'ai eu cette note,,Pas vraiment,"Je demande des explications au professeur, Je demande à un camarade, Je demande à mes parents",Parfois,Pendant une discussion individuelle (juste avec moi),La plupart du temps,Pas vraiment,Cela dépend du type de commentaire,"Rarement, ça va","J'ai eu l'impression d'être jugé(e) devant les autres, Les autres élèves se sont moqués, Le commentaire était trop négatif",,Écrits,car s est plus privé il y a que  moi qui peut voir et les voir m aide,Non,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver, Des exemples pour mieux comprendre",,Ils m'encouragent toujours à mieux faire,car sa me donne du courage et ducoup sa me permette de pas les decevoir,"Parfois, ça dépend du professeur","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, Je refais des exercices, Je fais des fiches de révision, Je me fais aider par une I.A.",,,,
4e,13-14 ans,,"Oui, souvent","Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,Un peu,"Je demande des explications au professeur, J'essaie de deviner ce que ça veut dire",Parfois,Pendant une discussion individuelle (juste avec moi),La plupart du temps,"Oui, un peu",Cela dépend du type de commentaire,"Parfois, selon ce qui est dit",J'ai eu l'impression d'être jugé(e) devant les autres,,Écrits,personne ne sait ce que j'ai eu,Non,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser",,Ils m'encouragent souvent,ça me dit ce que je dois améliorer pour la prochaine fois ,"Parfois, ça dépend du professeur","Je relis le cours, Je révise avec des camarades",non,,,
4e,11-12 ans,,"Oui, sur presque tous mes devoirs",La plupart du temps,Savoir ce que je dois améliorer,,Un peu,Je demande des explications au professeur,Jamais ou presque jamais,Je ne m’en souviens pas,La plupart du temps,"Oui, un peu",Cela dépend du type de commentaire,"Rarement, ça va",Cela ne m'est jamais arrivé,,Écrits,j'ai des difficulté à retenir des choses oralement,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser",,Ils n'ont pas d'effet sur ma motivation,je ne sais pas,"Jamais, j'ose toujours demander","Je relis le cours, Je refais des exercices, Je fais des fiches de révision",non,,,
4e,13-14 ans,,Parfois,"Oui, je les lis toujours attentivement",Comprendre pourquoi j'ai eu cette note,,Un peu,"Je demande des explications au professeur, J'essaie de deviner ce que ça veut dire",Parfois,Pendant la correction collective devant toute la classe,La plupart du temps,"Oui, un peu",Je n'ai pas de préférence,"Rarement, ça va",Je n'ai pas compris et je n'ai pas osé demander,,Écrits,je trouve que c'est plus claire et le commentaire reste sur la copie et je peux le relire ,Je ne sais pas,"Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver, Des exemples pour mieux comprendre",,"Parfois ça m'encourage, parfois ça me décourage",,Souvent,"Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, Je refais des exercices, Je révise avec des camarades",non aucune ,,,
4e,13-14 ans,,Parfois,Je regarde juste le résultat (note ou compétences),Savoir ce que je dois améliorer,,Je ne sais pas,"Je demande des explications au professeur, Je demande à un camarade, Je demande à mes parents",Parfois,"Pendant la correction collective devant toute la classe, Pendant des travaux en groupes, Pendant une discussion individuelle (juste avec moi)",Parfois c'est un peu flou,"Oui, un peu",En privé (juste moi et le professeur),"Souvent, je n'aime pas ça","J'ai eu l'impression d'être jugé(e) devant les autres, Le commentaire était trop négatif",,Écrits,j'aime pas dire a l'oral mes reponse ,Oui,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver, Des exemples pour mieux comprendre",,Ils m'encouragent souvent,,Souvent,"Je relis le cours, Je refais des exercices, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je révise avec des camarades",,,,
4e,13-14 ans,,Parfois,La plupart du temps,Comprendre pourquoi j'ai eu cette note,,Un peu,Je demande à mes parents,Parfois,Pendant des travaux en groupes,La plupart du temps,"Oui, un peu","Devant la classe, ça ne me dérange pas",Jamais,Cela ne m'est jamais arrivé,,Écrits,je préfère les voir que les entendre   ,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser",,"Parfois ça m'encourage, parfois ça me décourage",,Souvent,"Je relis le cours, Je fais des fiches de révision, Je révise avec des camarades",non,,,
4e,13-14 ans,,"Oui, sur presque tous mes devoirs",La plupart du temps,Savoir ce que je dois améliorer,,Un peu,"Je demande des explications au professeur, Je demande à un camarade, Je demande à mes parents, J'essaie de deviner ce que ça veut dire",Rarement,Pendant la correction collective devant toute la classe,"Oui, toujours, c'est très clair","Oui, un peu",Cela dépend du type de commentaire,"Rarement, ça va",Le commentaire était trop négatif,,Je n'ai pas de préférence,car il me permette d mieu comprendre mon ereure dans  tout les cas,Je ne sais pas,"Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver, Des exemples pour mieux comprendre",,Ils m'encouragent souvent,il m en courrage car il me donne des conseil,"Parfois, ça dépend du professeur","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, Je refais des exercices, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,...""",non,,,
